lgpAgentIdentManufacturer,1.3.6.1.4.1.476.1.42.2.1.1.0
lgpAgentIdentModel,1.3.6.1.4.1.476.1.42.2.1.2.0
lgpAgentIdentFirmwareVersion,1.3.6.1.4.1.476.1.42.2.1.3.0
lgpAgentIdentSerialNumber,1.3.6.1.4.1.476.1.42.2.1.4.0
lgpAgentIdentPartNumber,1.3.6.1.4.1.476.1.42.2.1.5.0
lgpAgentReboot,1.3.6.1.4.1.476.1.42.2.5.1.0
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.1
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.2
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.3
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.4
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.5
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.6
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.7
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.8
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.9
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.10
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.11
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.12
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.13
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.14
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.15
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.16
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.17
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.18
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.19
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.21
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.23
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.24
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.29
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.30
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.35
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.36
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.37
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.38
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.39
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.40
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.41
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.42
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.43
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.44
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.45
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.46
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.47
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.48
lgpConditionControlDescr,1.3.6.1.4.1.476.1.42.3.2.4.20.1.2.49
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.1
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.2
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.3
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.4
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.5
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.6
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.7
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.8
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.9
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.10
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.11
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.12
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.13
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.14
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.15
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.16
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.17
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.18
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.19
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.21
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.23
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.24
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.29
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.30
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.35
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.36
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.37
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.38
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.39
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.40
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.41
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.42
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.43
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.44
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.45
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.46
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.47
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.48
lgpConditionControlEnableStatus,1.3.6.1.4.1.476.1.42.3.2.4.20.1.3.49
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.1
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.2
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.3
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.4
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.5
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.6
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.7
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.8
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.9
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.10
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.11
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.12
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.13
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.14
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.15
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.16
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.17
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.18
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.19
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.21
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.23
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.24
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.29
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.30
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.37
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.38
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.39
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.40
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.41
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.42
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.43
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.44
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.45
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.46
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.47
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.48
lgpConditionControlType,1.3.6.1.4.1.476.1.42.3.2.4.20.1.4.49
lgpEnvTemperatureDescrDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.2.1
lgpEnvTemperatureDescrDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.2.2
lgpEnvTemperatureDescrDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.2.3
lgpEnvTemperatureDescrDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.2.7
lgpEnvTemperatureDescrDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.2.8
lgpEnvTemperatureDescrDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.2.10
lgpEnvTemperatureMeasurementDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.3.2
lgpEnvTemperatureMeasurementDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.3.3
lgpEnvTemperatureMeasurementDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.3.7
lgpEnvTemperatureMeasurementDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.3.8
lgpEnvTemperatureMeasurementDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.3.10
lgpEnvTemperatureDailyHighDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.7.1
lgpEnvTemperatureDailyLowDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.8.1
lgpEnvTempDailyHighTimeHourDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.9.1
lgpEnvTempDailyHighTimeMinuteDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.10.1
lgpEnvTempDailyHighTimeSecondDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.11.1
lgpEnvTempDailyLowTimeHourDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.12.1
lgpEnvTempDailyLowTimeMinuteDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.13.1
lgpEnvTempDailyLowTimeSecondDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.14.1
lgpEnvTemperatureMeasurementTenthsDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.50.2
lgpEnvTemperatureMeasurementTenthsDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.50.3
lgpEnvTemperatureMeasurementTenthsDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.50.7
lgpEnvTemperatureMeasurementTenthsDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.50.8
lgpEnvTemperatureMeasurementTenthsDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.50.10
lgpEnvTemperatureHighThresholdTenthsDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.51.3
lgpEnvTemperatureLowThresholdTenthsDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.52.3
lgpEnvTemperatureSetPointTenthsDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.53.1
lgpEnvTemperatureSetPointTenthsDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.53.2
lgpEnvTemperatureSetPointTenthsDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.53.3
lgpEnvTemperatureDeadBandTenthsDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.3.1.60.1
lgpEnvTemperatureDescrDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.2.1
lgpEnvTemperatureDescrDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.2.2
lgpEnvTemperatureDescrDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.2.3
lgpEnvTemperatureDescrDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.2.7
lgpEnvTemperatureDescrDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.2.8
lgpEnvTemperatureDescrDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.2.10
lgpEnvTemperatureMeasurementDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.3.2
lgpEnvTemperatureMeasurementDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.3.3
lgpEnvTemperatureMeasurementDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.3.7
lgpEnvTemperatureMeasurementDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.3.8
lgpEnvTemperatureMeasurementDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.3.10
lgpEnvTemperatureDailyHighDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.7.1
lgpEnvTemperatureDailyLowDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.8.1
lgpEnvTempDailyHighTimeHourDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.9.1
lgpEnvTempDailyHighTimeMinuteDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.10.1
lgpEnvTempDailyHighTimeSecondDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.11.1
lgpEnvTempDailyLowTimeHourDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.12.1
lgpEnvTempDailyLowTimeMinuteDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.13.1
lgpEnvTempDailyLowTimeSecondDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.14.1
lgpEnvTemperatureMeasurementTenthsDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.50.2
lgpEnvTemperatureMeasurementTenthsDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.50.3
lgpEnvTemperatureMeasurementTenthsDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.50.7
lgpEnvTemperatureMeasurementTenthsDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.50.8
lgpEnvTemperatureMeasurementTenthsDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.50.10
lgpEnvTemperatureHighThresholdTenthsDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.51.3
lgpEnvTemperatureLowThresholdTenthsDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.52.3
lgpEnvTemperatureSetPointTenthsDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.53.1
lgpEnvTemperatureSetPointTenthsDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.53.2
lgpEnvTemperatureSetPointTenthsDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.53.3
lgpEnvTemperatureDeadBandTenthsDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.3.1.60.1
lgpEnvTemperatureSettingDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.1.0
lgpEnvTemperatureToleranceDegF,1.3.6.1.4.1.476.1.42.3.4.1.2.2.0
lgpEnvTemperatureSettingDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.1.0
lgpEnvTemperatureToleranceDegC,1.3.6.1.4.1.476.1.42.3.4.1.3.2.0
